# Species	Genes	Alg.-Conn.	Pb_filNoH.faa	Pc_filNoH.faa	Pf_filNoH.faa	Pk_filNoH.faa	Pv_filNoH.faa	Py_filNoH.faa	Tg_filNoH.faa	h_tartakovskyi_filteredNoH.faa
8	9	0.778	3639_g	4812_g	2956_g	4918_g	4805_g	3661_g	562_g,611_g	22_g
8	9	0.778	3683_g	2277_g	2265_g	2344_g	2238_g	1330_g	2880_g,3561_g	1833_g
8	9	0.778	3898_g	4195_g	3152_g	4295_g	4206_g	627_g	7384_g,7534_g	51_g
8	9	0.778	3901_g	521_g	3649_g	537_g	500_g	1604_g	2586_g,3267_g	2338_g
8	9	0.778	4136_g	1534_g	2135_g	1581_g	1512_g	3341_g	4512_g,8527_g	2779_g
8	9	0.778	4194_g	3753_g	3994_g	3831_g	3749_g	2953_g	3122_g,3803_g	242_g
8	9	0.778	454_g	3847_g	4086_g	3929_g	3838_g	2221_g	4358_g,8251_g	850_g
8	9	0.778	6383_g	4233_g	3896_g	4342_g	4242_g	664_g	4939_g,5411_g	1450_g
8	9	0.778	6641_g	412_g	571_g	423_g	399_g	1706_g	9041_g,13622_g	647_g
8	9	0.778	6647_g	3513_g	3163_g	3589_g	3519_g	1849_g	5972_g,6280_g	1604_g
8	9	0.778	691_g	2631_g	742_g	2705_g	2608_g	717_g	6946_g,7965_g	1091_g
8	9	0.778	6998_g	138_g	4607_g	151_g	131_g	802_g	936_g,1753_g	2525_g
8	9	0.778	872_g	2830_g	1261_g	2906_g	2802_g	1874_g	104_g,287_g	470_g
8	9	0.778	925_g	876_g	400_g	911_g	856_g	254_g	2841_g,3522_g	933_g
8	9	0.778	926_g	877_g	399_g	912_g	857_g	255_g	9473_g,13193_g	934_g
8	9	0.778	998_g	1263_g	1778_g	1309_g	1242_g	4678_g	2113_g,2444_g	1017_g
8	9	0.667	1325_g	810_g	463_g	846_g	795_g	196_g	6677_g,5571_g	1432_g
8	9	0.667	132_g	471_g	518_g	484_g	453_g	1655_g	10591_g,11388_g	1905_g
8	9	0.667	151_g	3110_g	4870_g	3177_g	3083_g	4197_g	3903_g,8683_g	308_g
8	9	0.667	1557_g	4547_g	2708_g	4660_g	4556_g	3907_g	2_g,388_g	3387_g
8	9	0.667	1656_g	587_g	3585_g	602_g	562_g	4289_g	7382_g,7536_g	589_g
8	9	0.667	1712_g	970_g	303_g	1002_g	955_g	337_g	10738_g,11535_g	2426_g
8	9	0.667	2036_g	1295_g	1746_g	1340_g	1275_g	4709_g	10121_g,12400_g	2053_g
8	9	0.667	2362_g	105_g	4639_g	113_g	98_g	831_g	9249_g,13418_g	2756_g
8	9	0.667	2464_g	2508_g	2501_g	2584_g	2469_g	1550_g	9154_g,13512_g	1812_g
8	9	0.667	2466_g	4357_g	3772_g	4467_g	4368_g	2846_g	4502_g,8517_g	179_g
8	9	0.667	2892_g	1993_g	118_g	2033_g	1952_g	1050_g	6056_g,6196_g	2918_g
8	9	0.667	2944_g	3943_g	4183_g	4027_g	3939_g	2125_g	9087_g,13577_g	2312_g
8	9	0.667	3033_g	1240_g	1796_g	1286_g	1221_g	606_g	10174_g,12348_g	3100_g
8	9	0.667	3249_g	3878_g	4118_g	3962_g	3871_g	2187_g	6934_g,7977_g	433_g
8	9	0.667	3272_g	1705_g	1471_g	1760_g	1676_g	2565_g	10869_g,11666_g	1247_g
8	9	0.667	3435_g	3186_g	4804_g	3259_g	3163_g	4131_g	10150_g,12371_g	1227_g
8	9	0.667	3539_g	3802_g	4039_g	3882_g	3796_g	2267_g	922_g,1739_g	1319_g
8	9	0.667	3706_g	2562_g	1046_g	2633_g	2537_g	2343_g	13070_g,9596_g	2531_g
8	9	0.667	3891_g	992_g	282_g	1023_g	976_g	357_g	9414_g,13254_g	3489_g
8	9	0.667	4270_g	995_g	278_g	1027_g	979_g	361_g	3112_g,3793_g	2979_g
8	9	0.667	4417_g	4682_g	2835_g	4791_g	4681_g	3778_g	6760_g,8152_g	3483_g
8	9	0.667	467_g	232_g	4514_g	247_g	220_g	4407_g	2967_g,3648_g	2327_g
8	9	0.667	52_g	2245_g	2230_g	2305_g	2202_g	1296_g	4574_g,8589_g	92_g
8	9	0.667	5475_g	4085_g	3054_g	4176_g	4101_g	3532_g	2951_g,3632_g	2242_g
8	9	0.667	6742_g	2586_g	1071_g	2659_g	2561_g	674_g	10637_g,11434_g	727_g
8	9	0.667	6882_g	4424_g	2579_g	4529_g	4427_g	4027_g	545_g,629_g	2422_g
8	9	0.667	693_g	1285_g	1756_g	1330_g	1265_g	4699_g	4727_g,5199_g	3402_g
8	9	0.667	7176_g	4518_g	2678_g	4632_g	4526_g	3932_g	10495_g,12765_g	2881_g
8	9	0.667	7232_g	75_g	4667_g	83_g	70_g	861_g	6715_g,8194_g	2197_g
8	9	0.621	1508_g	4117_g	3084_g	4216_g	4134_g	3566_g	4723_g,5195_g	2326_g
8	9	0.621	1555_g	4336_g	3795_g	4444_g	4345_g	2870_g	1489_g,1149_g	2805_g
8	9	0.621	1860_g	4192_g	3149_g	4289_g	4204_g	625_g	10917_g,11714_g	49_g
8	9	0.621	2499_g	1536_g	2138_g	1583_g	1514_g	3342_g	11207_g,12004_g	2589_g
8	9	0.621	2785_g	1552_g	1619_g	1606_g	1532_g	2712_g	10004_g,12514_g	1760_g
8	9	0.621	2843_g	712_g	3459_g	737_g	690_g	81_g	9636_g,13028_g	3478_g
8	9	0.621	3192_g	1797_g	1381_g	1838_g	1764_g	2480_g	1365_g,1275_g	1551_g
8	9	0.621	3490_g	3840_g	4079_g	3921_g	3831_g	2228_g	1919_g,2342_g	439_g
8	9	0.621	4105_g	3705_g	3357_g	3794_g	3590_g	3032_g	7331_g,7588_g	2961_g
8	9	0.621	4148_g	3774_g	4014_g	3852_g	3770_g	2290_g	2852_g,3533_g	3391_g
8	9	0.621	4411_g	3183_g	4807_g	3256_g	3160_g	4134_g	10439_g,12820_g	522_g
8	9	0.621	6797_g	3588_g	3241_g	3673_g	3700_g	3138_g	6848_g,8066_g	1950_g
8	9	0.598	2682_g	4113_g	3080_g	4209_g	4130_g	3562_g	3238_g,2557_g	2622_g
8	9	0.598	3229_g	680_g	3494_g	703_g	655_g	115_g	2015_g,2244_g	1744_g
8	9	0.556	1015_g	3522_g	3172_g	3598_g	3527_g	1840_g	5771_g,6477_g	2773_g
8	9	0.556	1120_g	2263_g	2250_g	2327_g	2223_g	1316_g	9270_g,13398_g	1192_g
8	9	0.556	1163_g	3799_g	4037_g	3880_g	3794_g	2269_g	4089_g,8869_g	2135_g
8	9	0.556	1537_g	4397_g	3735_g	4508_g	4403_g	2811_g	2000_g,2259_g	2947_g
8	9	0.556	1579_g	2163_g	2146_g	2218_g	2120_g	1213_g	4984_g,5456_g	1654_g
8	9	0.556	2751_g	1918_g	44_g	1952_g	1880_g	978_g	457_g,717_g	2964_g
8	9	0.556	3103_g	757_g	3413_g	793_g	733_g	38_g	3971_g,8751_g	1209_g
8	9	0.556	3166_g	4475_g	2632_g	4588_g	4482_g	3976_g	4428_g,8443_g	2840_g
8	9	0.556	3420_g	3564_g	3217_g	3646_g	3724_g	3164_g	7380_g,7538_g	1996_g
8	9	0.556	3537_g	4472_g	2629_g	4585_g	4479_g	3979_g	4741_g,5213_g	2516_g
8	9	0.556	4203_g	4108_g	3076_g	4203_g	4125_g	3557_g	2162_g,2471_g	2576_g
8	9	0.556	4259_g	428_g	557_g	438_g	413_g	1693_g	5777_g,6471_g	2256_g
8	9	0.556	462_g	663_g	3511_g	682_g	636_g	133_g	5749_g,6499_g	756_g
8	9	0.556	6481_g	3606_g	3258_g	3691_g	3683_g	3123_g	9952_g,12570_g	1042_g
8	9	0.556	6691_g	2883_g	5016_g	2959_g	2851_g	2753_g	10602_g,11399_g	2677_g
8	9	0.556	6847_g	491_g	3680_g	502_g	471_g	1634_g	10112_g,12409_g	1793_g
8	9	0.556	6860_g	848_g	428_g	883_g	830_g	228_g	10127_g,12394_g	2885_g
8	9	0.556	6888_g	2403_g	2390_g	2435_g	2361_g	1452_g	10937_g,11734_g	324_g
8	9	0.556	829_g	2103_g	817_g	2151_g	2061_g	1155_g	245_g,145_g	1459_g
8	9	0.556	995_g	1227_g	1809_g	1273_g	1208_g	592_g	10987_g,11784_g	269_g
8	9	0.537	1005_g	3924_g	4165_g	4009_g	3920_g	2140_g	9865_g,12658_g	1464_g
8	9	0.537	18_g	36_g	4703_g	43_g	33_g	897_g	2998_g,3679_g	497_g
8	9	0.537	2917_g	2657_g	716_g	2733_g	2634_g	743_g	9116_g,13549_g	1340_g
8	9	0.537	3092_g	1480_g	2084_g	1526_g	1458_g	3293_g	108_g,283_g	2235_g
8	9	0.537	3121_g	981_g	293_g	1012_g	965_g	346_g	5709_g,6538_g	713_g
8	9	0.537	3664_g	63_g	4678_g	71_g	58_g	872_g	4510_g,8525_g	1357_g
8	9	0.537	6850_g	1331_g	1710_g	1377_g	1311_g	4745_g	2898_g,3579_g	2008_g
8	9	0.532	1026_g	1468_g	2073_g	1515_g	1447_g	4098_g	10286_g,12238_g	1375_g
8	9	0.532	3440_g	4721_g	2873_g	4833_g	4722_g	3743_g	8412_g,4195_g	741_g
8	9	0.522	4007_g	3131_g	4850_g	3205_g	3103_g	4175_g	7271_g,7647_g	2931_g
8	9	0.522	6673_g	1558_g	1613_g	1611_g	1537_g	2705_g	4158_g,8938_g	1549_g
8	9	0.517	777_g	862_g	414_g	898_g	842_g	241_g	9121_g,13544_g	453_g
8	9	0.517	985_g	1988_g	113_g	2024_g	1947_g	1045_g	2851_g,3532_g	1625_g
8	9	0.512	554_g	1251_g	1789_g	1297_g	1230_g	4666_g	10576_g,11373_g	216_g
8	9	0.51	1191_g	1140_g	1890_g	1183_g	1123_g	503_g	2872_g,3553_g	803_g
8	9	0.51	2123_g	709_g	3462_g	734_g	687_g	84_g	2861_g,3542_g	3022_g
8	9	0.51	602_g	2991_g	1171_g	3061_g	2945_g	3416_g	403_g,771_g	1151_g
8	9	0.51	6620_g	4439_g	2595_g	4545_g	4443_g	4013_g	1796_g,979_g	1160_g
8	9	0.51	986_g	1989_g	114_g	2025_g	1948_g	1046_g	11275_g,12072_g	1624_g
8	9	0.503	3066_g	1999_g	125_g	2040_g	1958_g	1056_g	3644_g,2963_g	2854_g
8	9	0.502	3015_g	1744_g	1431_g	1787_g	1715_g	2528_g	10779_g,11576_g	486_g
8	9	0.502	3892_g	993_g	281_g	1024_g	977_g	358_g	11223_g,12020_g	2040_g
8	9	0.502	3900_g	522_g	3648_g	538_g	501_g	1603_g	10461_g,12798_g	1776_g
8	9	0.502	4257_g	4532_g	2693_g	4645_g	4541_g	3921_g	2840_g,3521_g	364_g
8	9	0.495	1820_g	961_g	312_g	993_g	946_g	328_g	249_g,142_g	3362_g
8	9	0.487	1398_g	1473_g	2078_g	1520_g	1452_g	3288_g	5718_g,6529_g	2912_g
8	9	0.487	6438_g	3387_g	5085_g	3468_g	3371_g	4540_g	9551_g,13115_g	800_g
8	9	0.486	1302_g	1758_g	1417_g	1804_g	1729_g	2514_g	6473_g,5775_g	1198_g
8	9	0.486	2155_g	1397_g	1644_g	1442_g	1372_g	4807_g	1902_g,2360_g	1299_g
8	9	0.486	840_g	4331_g	3801_g	4438_g	4339_g	2876_g	4677_g,5149_g	305_g
8	9	0.482	3372_g	1005_g	270_g	1039_g	987_g	368_g	9799_g,12725_g	2618_g
8	9	0.481	3884_g	1333_g	1708_g	1379_g	1313_g	4747_g	9557_g,13109_g	2343_g
8	9	0.457	3271_g	1704_g	1472_g	1759_g	1675_g	2566_g	4999_g,5471_g	1248_g
8	9	0.444	1335_g	4160_g	3121_g	4258_g	4175_g	3605_g	6793_g,8120_g	1660_g
8	9	0.444	185_g	2758_g	4363_g	2827_g	2731_g	1944_g	10187_g,12335_g	2780_g
8	9	0.444	2315_g	220_g	4527_g	234_g	210_g	4394_g	4596_g,8611_g	316_g
8	9	0.444	3065_g	1998_g	123_g	2038_g	1957_g	1055_g	9015_g,13648_g	1643_g
8	9	0.444	3364_g	3825_g	4062_g	3906_g	3816_g	2244_g	7357_g,7561_g	3454_g
8	9	0.444	339_g	3794_g	4032_g	3875_g	3789_g	2274_g	3761_g,3080_g	1096_g
8	9	0.444	588_g	4155_g	3116_g	4253_g	4170_g	3600_g	9221_g,13444_g	2769_g
8	9	0.435	1613_g	4228_g	3901_g	4331_g	4237_g	658_g	10113_g,12408_g	386_g
8	9	0.435	2299_g	3472_g	5163_g	3553_g	3466_g	3008_g	9380_g,13289_g	581_g
8	9	0.435	3304_g	1323_g	1718_g	1369_g	1303_g	4737_g	3059_g,3740_g	349_g
8	9	0.435	3419_g	2405_g	2392_g	2437_g	2363_g	1454_g	9978_g,12542_g	326_g
8	9	0.435	539_g	626_g	3545_g	642_g	600_g	4327_g	3440_g,2759_g	3110_g
8	9	0.435	6503_g	4343_g	3788_g	4451_g	4353_g	2862_g	1903_g,2359_g	2036_g
8	9	0.433	4154_g	3179_g	4810_g	3252_g	3156_g	4140_g	5642_g,6604_g	521_g
8	9	0.433	6800_g	4550_g	2711_g	4665_g	4559_g	3904_g	10912_g,11709_g	2511_g
8	9	0.432	1878_g	3200_g	4790_g	3273_g	3176_g	4119_g	10982_g,11779_g	119_g
8	9	0.431	621_g	2802_g	1235_g	2878_g	2777_g	1901_g	2069_g,2190_g	596_g
8	9	0.43	2636_g	2063_g	187_g	2108_g	2022_g	1115_g	3221_g,2540_g	1385_g
8	9	0.426	1474_g	129_g	4615_g	142_g	122_g	810_g	1844_g,1027_g	3039_g
8	9	0.426	3942_g	4664_g	2817_g	4773_g	4663_g	3795_g	10530_g,11327_g	651_g
8	9	0.426	470_g	536_g	3634_g	550_g	515_g	1590_g	53_g,339_g	3545_g
8	9	0.426	6250_g	342_g	639_g	347_g	331_g	1772_g	10441_g,12818_g	748_g
8	9	0.426	734_g	919_g	354_g	958_g	901_g	296_g	469_g,704_g	2776_g
8	9	0.423	101_g	1222_g	1814_g	1268_g	1203_g	587_g	4017_g,8797_g	3440_g
8	9	0.418	3567_g	909_g	364_g	948_g	891_g	286_g	10547_g,11344_g	3418_g
8	9	0.418	360_g	3602_g	3254_g	3687_g	3687_g	3126_g	3295_g,2614_g	2294_g
8	9	0.418	5369_g	3679_g	3327_g	3768_g	3616_g	3055_g	9732_g,12930_g	1213_g
8	9	0.418	932_g	445_g	543_g	455_g	428_g	1679_g	7103_g,7813_g	1497_g
8	9	0.415	2516_g	3429_g	5119_g	3507_g	3425_g	4574_g	11021_g,11818_g	1768_g
8	9	0.415	324_g	2735_g	4390_g	2802_g	2706_g	1968_g	9434_g,13233_g	3565_g
8	9	0.415	3922_g	1407_g	1636_g	1451_g	1383_g	4815_g	4111_g,8891_g	1593_g
8	9	0.414	575_g	4507_g	2666_g	4620_g	4514_g	3943_g	6953_g,7958_g	321_g
8	9	0.411	2810_g	1345_g	1697_g	1392_g	1324_g	4757_g	9518_g,13148_g	105_g
8	9	0.411	2885_g	1078_g	1955_g	1111_g	1058_g	438_g	55_g,337_g	813_g
8	9	0.411	3003_g	2339_g	2327_g	2408_g	2298_g	1389_g	4686_g,5158_g	3162_g
8	9	0.41	2196_g	357_g	625_g	364_g	346_g	1757_g	4621_g,5093_g	2748_g
8	9	0.409	2555_g	1485_g	2089_g	1534_g	1463_g	3299_g	8600_g,4585_g	1104_g
8	9	0.409	6644_g	4477_g	2634_g	4590_g	4484_g	3974_g	10642_g,11439_g	3058_g
8	9	0.408	1134_g	4158_g	3119_g	4256_g	4173_g	3603_g	7444_g,7475_g	2441_g
8	9	0.406	3599_g	1171_g	1861_g	1213_g	1153_g	539_g	2843_g,3524_g	167_g
8	9	0.404	2302_g	1076_g	1957_g	1109_g	1056_g	436_g	9751_g,12911_g	1943_g
8	9	0.403	5347_g	3843_g	4082_g	3925_g	3834_g	2225_g	2780_g,3461_g	436_g
8	9	0.403	6541_g	4256_g	3874_g	4373_g	4266_g	2306_g	6739_g,8171_g	927_g
8	9	0.403	6577_g	4560_g	2721_g	4675_g	4569_g	3894_g	391_g,785_g	764_g
8	9	0.399	4913_g	2553_g	1037_g	2619_g	2527_g	2352_g	8996_g,12877_g	1301_g
8	9	0.398	3510_g	4501_g	2660_g	4614_g	4508_g	3949_g	1242_g,1396_g	159_g
8	9	0.398	4420_g	3739_g	3981_g	3818_g	3736_g	2966_g	9147_g,13519_g	1139_g
8	9	0.398	537_g	623_g	3547_g	640_g	598_g	4325_g	10710_g,11507_g	684_g
8	9	0.397	3544_g	3482_g	5173_g	3562_g	3476_g	2998_g	5139_g,4667_g	1902_g
8	9	0.388	645_g	559_g	3613_g	575_g	536_g	1570_g	2642_g,3323_g	1440_g
8	9	0.387	1269_g	1219_g	1816_g	1265_g	1201_g	585_g	4577_g,8592_g	195_g
8	9	0.382	1415_g	3873_g	4113_g	3957_g	3866_g	2192_g	13641_g,9022_g	3627_g
8	9	0.381	3050_g	1769_g	1406_g	1816_g	1740_g	2504_g	9484_g,13182_g	2538_g
8	9	0.376	363_g	3611_g	3262_g	3696_g	3679_g	3120_g	9082_g,13582_g	2534_g
8	9	0.375	5025_g	1987_g	112_g	2023_g	1946_g	1044_g	6877_g,8036_g	3559_g
8	9	0.375	944_g	2979_g	1160_g	3049_g	2933_g	3403_g	8596_g,4581_g	1413_g
8	9	0.372	2394_g	1604_g	1570_g	1664_g	1578_g	2662_g	9866_g,12657_g	1158_g
8	9	0.364	1104_g	2810_g	1243_g	2886_g	2785_g	1893_g	10134_g,12387_g	44_g
8	9	0.364	3792_g	4700_g	2853_g	4811_g	4700_g	3761_g	11028_g,11825_g	410_g
8	9	0.36	3052_g	1767_g	1408_g	1814_g	1738_g	2506_g	496_g,677_g	2393_g
8	9	0.359	147_g	1033_g	242_g	1067_g	1015_g	397_g	8627_g,3847_g	1239_g
8	9	0.359	6614_g	1829_g	1347_g	1871_g	1797_g	2451_g	7163_g,7754_g	1204_g
8	9	0.354	4052_g	1668_g	1508_g	1725_g	1641_g	2603_g	1916_g,2345_g	3066_g
8	9	0.352	6047_g	4611_g	2767_g	4722_g	4615_g	3852_g	10805_g,11602_g	864_g
8	9	0.348	2819_g	2260_g	2246_g	2322_g	2219_g	1312_g	8320_g,4285_g	250_g
8	9	0.341	1048_g	2624_g	749_g	2697_g	2601_g	710_g	4408_g,8423_g	2682_g
8	9	0.341	3574_g	2146_g	773_g	2198_g	2103_g	1197_g	9166_g,13500_g	1740_g
8	9	0.333	1768_g	4148_g	3109_g	4246_g	4163_g	3593_g	10663_g,11460_g	3564_g
8	9	0.333	2383_g	2511_g	2505_g	2588_g	2472_g	1553_g	10425_g,12834_g	3631_g
8	9	0.333	293_g	872_g	404_g	907_g	852_g	251_g	11249_g,12046_g	1859_g
8	9	0.333	3089_g	2049_g	172_g	2092_g	2007_g	1100_g	3937_g,8717_g	2478_g
8	9	0.333	385_g	3897_g	4137_g	3979_g	3891_g	2169_g	6962_g,7950_g	1665_g
8	9	0.333	402_g	1527_g	2128_g	1574_g	1505_g	3334_g	7071_g,7845_g	252_g
8	9	0.333	4204_g	2544_g	1027_g	2610_g	2518_g	2361_g	2035_g,2223_g	1821_g
8	9	0.333	656_g	563_g	3609_g	578_g	540_g	1566_g	10262_g,12260_g	785_g
8	9	0.328	2602_g	531_g	3639_g	546_g	510_g	1595_g	6072_g,6180_g	1668_g
8	9	0.327	4121_g	1740_g	1435_g	1783_g	1711_g	2532_g	3599_g,2918_g	1286_g
8	9	0.324	1009_g	1394_g	1648_g	1439_g	1368_g	4803_g	2027_g,2232_g	569_g
8	9	0.324	2782_g	1409_g	1634_g	1453_g	1385_g	4817_g	340_g,52_g	1897_g
8	9	0.322	1630_g	2570_g	1055_g	2642_g	2546_g	2334_g	5782_g,6467_g	720_g
8	9	0.322	1696_g	4582_g	2741_g	4694_g	4587_g	3877_g	1986_g,2274_g	830_g
8	9	0.321	3055_g	4787_g	2933_g	4895_g	4784_g	3684_g	1763_g,946_g	1773_g
8	9	0.319	1451_g	4661_g	2814_g	4769_g	4660_g	3798_g	2028_g,2231_g	1393_g
8	9	0.317	599_g	3008_g	1189_g	3078_g	2962_g	3434_g	9642_g,13022_g	904_g
8	9	0.316	3870_g	3883_g	4122_g	3966_g	3876_g	2183_g	6924_g,7988_g	1111_g
8	9	0.314	3051_g	1768_g	1407_g	1815_g	1739_g	2505_g	9483_g,13183_g	2392_g
8	9	0.312	2791_g	2203_g	2186_g	2262_g	2159_g	1253_g	2271_g,1989_g	1131_g
8	9	0.312	3553_g	2428_g	2421_g	2498_g	2385_g	1474_g	2389_g,1872_g	2209_g
8	9	0.311	2865_g	4437_g	2592_g	4542_g	4440_g	4015_g	398_g,777_g	2265_g
8	9	0.311	2935_g	2371_g	2360_g	2449_g	2331_g	1421_g	5731_g,6517_g	2159_g
8	9	0.311	6755_g	2216_g	2198_g	2276_g	2172_g	1266_g	2084_g,2177_g	3497_g
8	9	0.31	6392_g	2224_g	2211_g	2285_g	2181_g	1276_g	2645_g,3326_g	623_g
8	9	0.308	4286_g	400_g	582_g	411_g	389_g	1715_g	10911_g,11708_g	541_g
8	9	0.307	6736_g	3964_g	4203_g	4055_g	3961_g	2103_g	9210_g,13455_g	3645_g
8	9	0.305	1847_g	4393_g	3739_g	4504_g	4399_g	2815_g	330_g,61_g	2524_g
8	9	0.304	3297_g	41_g	4698_g	48_g	38_g	892_g	9984_g,12536_g	1309_g
8	9	0.304	899_g	1540_g	1632_g	1591_g	1519_g	3346_g	9994_g,12526_g	2130_g
8	9	0.299	1351_g	3408_g	5107_g	3489_g	3391_g	4561_g	8993_g,12874_g	2903_g
8	9	0.298	1726_g	4005_g	4245_g	4102_g	4007_g	2058_g	1841_g,1024_g	2370_g
8	9	0.298	6763_g	890_g	386_g	926_g	871_g	268_g	8301_g,4305_g	1263_g
8	9	0.297	4260_g	426_g	558_g	437_g	412_g	1694_g	570_g,603_g	3136_g
8	9	0.294	3032_g	4359_g	3770_g	4469_g	4370_g	2844_g	6756_g,8155_g	3019_g
8	9	0.293	3323_g	2726_g	4399_g	2793_g	2697_g	1977_g	2958_g,3639_g	2225_g
8	9	0.293	782_g	4623_g	2779_g	4734_g	4627_g	3840_g	576_g,597_g	2097_g
8	9	0.292	449_g	4652_g	2805_g	4760_g	4652_g	3813_g	10630_g,11427_g	1457_g
8	9	0.291	497_g	348_g	635_g	352_g	336_g	1767_g	6113_g,6140_g	1261_g
8	9	0.288	1821_g	960_g	313_g	992_g	945_g	327_g	2272_g,1988_g	1365_g
8	9	0.287	2438_g	968_g	305_g	1000_g	953_g	335_g	9142_g,13524_g	3045_g
8	9	0.287	5530_g	1681_g	1495_g	1739_g	1654_g	2589_g	4646_g,5118_g	2055_g
8	9	0.286	4236_g	2720_g	4404_g	2785_g	2692_g	1982_g	5995_g,6256_g	2944_g
